"Notes"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Acute transmural myocardial infarction of other sites"	"I21.2"	7	279040168	Unreliable
	"1999"	"1999"	"Acute transmural myocardial infarction of unspecified site"	"I21.3"	32	279040168	0.0
	"1999"	"1999"	"Acute subendocardial myocardial infarction"	"I21.4"	306	279040168	0.1
	"1999"	"1999"	"Acute myocardial infarction, unspecified"	"I21.9"	199083	279040168	71.3
	"1999"	"1999"	"Subsequent myocardial infarction of inferior wall"	"I22.1"	1	279040168	Unreliable
	"1999"	"1999"	"Subsequent myocardial infarction of unspecified site"	"I22.9"	3	279040168	Unreliable
	"1999"	"1999"	"Dressler syndrome"	"I24.1"	6	279040168	Unreliable
	"1999"	"1999"	"Other forms of acute ischaemic heart disease"	"I24.8"	2603	279040168	0.9
	"1999"	"1999"	"Acute ischaemic heart disease, unspecified"	"I24.9"	623	279040168	0.2
	"1999"	"1999"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	71926	279040168	25.8
	"1999"	"1999"	"Atherosclerotic heart disease"	"I25.1"	227487	279040168	81.5
	"1999"	"1999"	"Old myocardial infarction"	"I25.2"	364	279040168	0.1
	"1999"	"1999"	"Aneurysm of heart"	"I25.3"	120	279040168	0.0
	"1999"	"1999"	"Coronary artery aneurysm"	"I25.4"	19	279040168	Unreliable
	"1999"	"1999"	"Ischaemic cardiomyopathy"	"I25.5"	12566	279040168	4.5
	"1999"	"1999"	"Other forms of chronic ischaemic heart disease"	"I25.8"	1805	279040168	0.6
	"1999"	"1999"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	12183	279040168	4.4
	"1999"	"1999"	"Pulmonary embolism with mention of acute cor pulmonale"	"I26.0"	22	279040168	0.0
	"1999"	"1999"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	8986	279040168	3.2
	"1999"	"1999"	"Primary pulmonary hypertension"	"I27.0"	2725	279040168	1.0
	"1999"	"1999"	"Kyphoscoliotic heart disease"	"I27.1"	84	279040168	0.0
	"1999"	"1999"	"Other specified pulmonary heart diseases"	"I27.8"	3	279040168	Unreliable
	"1999"	"1999"	"Pulmonary heart disease, unspecified"	"I27.9"	1360	279040168	0.5
	"1999"	"1999"	"Arteriovenous fistula of pulmonary vessels"	"I28.0"	1	279040168	Unreliable
	"1999"	"1999"	"Aneurysm of pulmonary artery"	"I28.1"	16	279040168	Unreliable
	"1999"	"1999"	"Other specified diseases of pulmonary vessels"	"I28.8"	25	279040168	0.0
	"1999"	"1999"	"Disease of pulmonary vessels, unspecified"	"I28.9"	22	279040168	0.0
	"1999"	"1999"	"Acute nonspecific idiopathic pericarditis"	"I30.0"	2	279040168	Unreliable
	"1999"	"1999"	"Infective pericarditis"	"I30.1"	25	279040168	0.0
	"1999"	"1999"	"Other forms of acute pericarditis"	"I30.8"	14	279040168	Unreliable
	"1999"	"1999"	"Acute pericarditis, unspecified"	"I30.9"	20	279040168	0.0
	"1999"	"1999"	"Chronic adhesive pericarditis"	"I31.0"	4	279040168	Unreliable
	"1999"	"1999"	"Chronic constrictive pericarditis"	"I31.1"	59	279040168	0.0
	"1999"	"1999"	"Haemopericardium, not elsewhere classified"	"I31.2"	35	279040168	0.0
	"1999"	"1999"	"Pericardial effusion (noninflammatory)"	"I31.3"	147	279040168	0.1
	"1999"	"1999"	"Other specified diseases of pericardium"	"I31.8"	1	279040168	Unreliable
	"1999"	"1999"	"Disease of pericardium, unspecified"	"I31.9"	259	279040168	0.1
	"1999"	"1999"	"Acute and subacute infective endocarditis"	"I33.0"	1088	279040168	0.4
	"1999"	"1999"	"Acute endocarditis, unspecified"	"I33.9"	28	279040168	0.0
	"1999"	"1999"	"Mitral (valve) insufficiency"	"I34.0"	2407	279040168	0.9
	"1999"	"1999"	"Mitral (valve) prolapse"	"I34.1"	346	279040168	0.1
	"1999"	"1999"	"Nonrheumatic mitral (valve) stenosis"	"I34.2"	8	279040168	Unreliable
	"1999"	"1999"	"Other nonrheumatic mitral valve disorders"	"I34.8"	105	279040168	0.0
	"1999"	"1999"	"Nonrheumatic mitral valve disorder, unspecified"	"I34.9"	29	279040168	0.0
	"1999"	"1999"	"Aortic (valve) stenosis"	"I35.0"	9902	279040168	3.5
	"1999"	"1999"	"Aortic (valve) insufficiency"	"I35.1"	623	279040168	0.2
	"1999"	"1999"	"Aortic (valve) stenosis with insufficiency"	"I35.2"	83	279040168	0.0
	"1999"	"1999"	"Other aortic valve disorders"	"I35.8"	199	279040168	0.1
	"1999"	"1999"	"Aortic valve disorder, unspecified"	"I35.9"	1405	279040168	0.5
	"1999"	"1999"	"Nonrheumatic tricuspid (valve) insufficiency"	"I36.1"	3	279040168	Unreliable
	"1999"	"1999"	"Nonrheumatic tricuspid valve disorder, unspecified"	"I36.9"	2	279040168	Unreliable
	"1999"	"1999"	"Pulmonary valve stenosis"	"I37.0"	5	279040168	Unreliable
	"1999"	"1999"	"Pulmonary valve insufficiency"	"I37.1"	3	279040168	Unreliable
	"1999"	"1999"	"Other pulmonary valve disorders"	"I37.8"	1	279040168	Unreliable
	"1999"	"1999"	"Pulmonary valve disorder, unspecified"	"I37.9"	1	279040168	Unreliable
	"1999"	"1999"	"Endocarditis, valve unspecified"	"I38"	4490	279040168	1.6
	"1999"	"1999"	"Infective myocarditis"	"I40.0"	228	279040168	0.1
	"1999"	"1999"	"Isolated myocarditis"	"I40.1"	12	279040168	Unreliable
	"1999"	"1999"	"Other acute myocarditis"	"I40.8"	4	279040168	Unreliable
	"1999"	"1999"	"Acute myocarditis, unspecified"	"I40.9"	80	279040168	0.0
	"1999"	"1999"	"Dilated cardiomyopathy"	"I42.0"	5397	279040168	1.9
	"1999"	"1999"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	222	279040168	0.1
	"1999"	"1999"	"Other hypertrophic cardiomyopathy"	"I42.2"	1239	279040168	0.4
	"1999"	"1999"	"Endomyocardial (eosinophilic) disease"	"I42.3"	4	279040168	Unreliable
	"1999"	"1999"	"Endocardial fibroelastosis"	"I42.4"	76	279040168	0.0
	"1999"	"1999"	"Other restrictive cardiomyopathy"	"I42.5"	89	279040168	0.0
	"1999"	"1999"	"Alcoholic cardiomyopathy"	"I42.6"	567	279040168	0.2
	"1999"	"1999"	"Cardiomyopathy due to drugs and other external agents"	"I42.7"	23	279040168	0.0
	"1999"	"1999"	"Other cardiomyopathies"	"I42.8"	31	279040168	0.0
	"1999"	"1999"	"Cardiomyopathy, unspecified"	"I42.9"	19612	279040168	7.0
	"1999"	"1999"	"Atrioventricular block, first degree"	"I44.0"	3	279040168	Unreliable
	"1999"	"1999"	"Atrioventricular block, second degree"	"I44.1"	8	279040168	Unreliable
	"1999"	"1999"	"Atrioventricular block, complete"	"I44.2"	329	279040168	0.1
	"1999"	"1999"	"Other and unspecified atrioventricular block"	"I44.3"	40	279040168	0.0
	"1999"	"1999"	"Left bundle-branch block, unspecified"	"I44.7"	16	279040168	Unreliable
	"1999"	"1999"	"Other and unspecified right bundle-branch block"	"I45.1"	6	279040168	Unreliable
	"1999"	"1999"	"Bifascicular block"	"I45.2"	6	279040168	Unreliable
	"1999"	"1999"	"Trifascicular block"	"I45.3"	2	279040168	Unreliable
	"1999"	"1999"	"Nonspecific intraventricular block"	"I45.4"	1	279040168	Unreliable
	"1999"	"1999"	"Other specified heart block"	"I45.5"	14	279040168	Unreliable
	"1999"	"1999"	"Pre-excitation syndrome"	"I45.6"	27	279040168	0.0
	"1999"	"1999"	"Other specified conduction disorders"	"I45.8"	135	279040168	0.0
	"1999"	"1999"	"Conduction disorder, unspecified"	"I45.9"	127	279040168	0.0
	"1999"	"1999"	"Cardiac arrest with successful resuscitation"	"I46.0"	2	279040168	Unreliable
	"1999"	"1999"	"Sudden cardiac death, so described"	"I46.1"	2639	279040168	0.9
	"1999"	"1999"	"Cardiac arrest, unspecified"	"I46.9"	18312	279040168	6.6
	"1999"	"1999"	"Re-entry ventricular arrhythmia"	"I47.0"	6	279040168	Unreliable
	"1999"	"1999"	"Supraventricular tachycardia"	"I47.1"	154	279040168	0.1
	"1999"	"1999"	"Ventricular tachycardia"	"I47.2"	522	279040168	0.2
	"1999"	"1999"	"Paroxysmal tachycardia, unspecified"	"I47.9"	1	279040168	Unreliable
	"1999"	"1999"	"Atrial fibrillation and flutter"	"I48"	8338	279040168	3.0
	"1999"	"1999"	"Ventricular fibrillation and flutter"	"I49.0"	1626	279040168	0.6
	"1999"	"1999"	"Atrial premature depolarization"	"I49.1"	1	279040168	Unreliable
	"1999"	"1999"	"Junctional premature depolarization"	"I49.2"	1	279040168	Unreliable
	"1999"	"1999"	"Ventricular premature depolarization"	"I49.3"	12	279040168	Unreliable
	"1999"	"1999"	"Other and unspecified premature depolarization"	"I49.4"	1	279040168	Unreliable
	"1999"	"1999"	"Sick sinus syndrome"	"I49.5"	446	279040168	0.2
	"1999"	"1999"	"Other specified cardiac arrhythmias"	"I49.8"	33	279040168	0.0
	"1999"	"1999"	"Cardiac arrhythmia, unspecified"	"I49.9"	7168	279040168	2.6
	"1999"	"1999"	"Congestive heart failure"	"I50.0"	50824	279040168	18.2
	"1999"	"1999"	"Left ventricular failure"	"I50.1"	163	279040168	0.1
	"1999"	"1999"	"Heart failure, unspecified"	"I50.9"	3926	279040168	1.4
	"1999"	"1999"	"Cardiac septal defect, acquired"	"I51.0"	18	279040168	Unreliable
	"1999"	"1999"	"Rupture of chordae tendineae, not elsewhere classified"	"I51.1"	17	279040168	Unreliable
	"1999"	"1999"	"Rupture of papillary muscle, not elsewhere classified"	"I51.2"	21	279040168	0.0
	"1999"	"1999"	"Intracardiac thrombosis, not elsewhere classified"	"I51.3"	2	279040168	Unreliable
	"1999"	"1999"	"Myocarditis, unspecified"	"I51.4"	560	279040168	0.2
	"1999"	"1999"	"Myocardial degeneration"	"I51.5"	165	279040168	0.1
	"1999"	"1999"	"Cardiovascular disease, unspecified"	"I51.6"	3922	279040168	1.4
	"1999"	"1999"	"Cardiomegaly"	"I51.7"	1372	279040168	0.5
	"1999"	"1999"	"Other ill-defined heart diseases"	"I51.8"	718	279040168	0.3
	"1999"	"1999"	"Heart disease, unspecified"	"I51.9"	2022	279040168	0.7
	"1999"	"1999"	"Subarachnoid haemorrhage from carotid siphon and bifurcation"	"I60.0"	85	279040168	0.0
	"1999"	"1999"	"Subarachnoid haemorrhage from anterior communicating artery"	"I60.2"	2	279040168	Unreliable
	"1999"	"1999"	"Subarachnoid haemorrhage from posterior communicating artery"	"I60.3"	4	279040168	Unreliable
	"1999"	"1999"	"Subarachnoid haemorrhage from basilar artery"	"I60.4"	3	279040168	Unreliable
	"1999"	"1999"	"Subarachnoid haemorrhage from other intracranial arteries"	"I60.6"	63	279040168	0.0
	"1999"	"1999"	"Subarachnoid haemorrhage from intracranial artery, unspecified"	"I60.7"	584	279040168	0.2
	"1999"	"1999"	"Other subarachnoid haemorrhage"	"I60.8"	20	279040168	0.0
	"1999"	"1999"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	5728	279040168	2.1
	"1999"	"1999"	"Intracerebral haemorrhage in hemisphere, subcortical"	"I61.0"	172	279040168	0.1
	"1999"	"1999"	"Intracerebral haemorrhage in hemisphere, cortical"	"I61.1"	121	279040168	0.0
	"1999"	"1999"	"Intracerebral haemorrhage in hemisphere, unspecified"	"I61.2"	59	279040168	0.0
	"1999"	"1999"	"Intracerebral haemorrhage in brain stem"	"I61.3"	820	279040168	0.3
	"1999"	"1999"	"Intracerebral haemorrhage in cerebellum"	"I61.4"	640	279040168	0.2
	"1999"	"1999"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	758	279040168	0.3
	"1999"	"1999"	"Intracerebral haemorrhage, multiple localized"	"I61.6"	1	279040168	Unreliable
	"1999"	"1999"	"Other intracerebral haemorrhage"	"I61.8"	71	279040168	0.0
	"1999"	"1999"	"Intracerebral haemorrhage, unspecified"	"I61.9"	17245	279040168	6.2
	"1999"	"1999"	"Subdural haemorrhage (acute)(nontraumatic)"	"I62.0"	621	279040168	0.2
	"1999"	"1999"	"Nontraumatic extradural haemorrhage"	"I62.1"	1	279040168	Unreliable
	"1999"	"1999"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	4952	279040168	1.8
	"1999"	"1999"	"Cerebral infarction due to thrombosis of precerebral arteries"	"I63.0"	181	279040168	0.1
	"1999"	"1999"	"Cerebral infarction due to embolism of precerebral arteries"	"I63.1"	19	279040168	Unreliable
	"1999"	"1999"	"Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries"	"I63.2"	718	279040168	0.3
	"1999"	"1999"	"Cerebral infarction due to thrombosis of cerebral arteries"	"I63.3"	2740	279040168	1.0
	"1999"	"1999"	"Cerebral infarction due to embolism of cerebral arteries"	"I63.4"	654	279040168	0.2
	"1999"	"1999"	"Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries"	"I63.5"	328	279040168	0.1
	"1999"	"1999"	"Other cerebral infarction"	"I63.8"	63	279040168	0.0
	"1999"	"1999"	"Cerebral infarction, unspecified"	"I63.9"	10101	279040168	3.6
	"1999"	"1999"	"Stroke, not specified as haemorrhage or infarction"	"I64"	91051	279040168	32.6
	"1999"	"1999"	"Dissection of cerebral arteries, nonruptured"	"I67.0"	12	279040168	Unreliable
	"1999"	"1999"	"Cerebral aneurysm, nonruptured"	"I67.1"	446	279040168	0.2
	"1999"	"1999"	"Cerebral atherosclerosis"	"I67.2"	1455	279040168	0.5
	"1999"	"1999"	"Progressive vascular leukoencephalopathy"	"I67.3"	30	279040168	0.0
	"1999"	"1999"	"Hypertensive encephalopathy"	"I67.4"	84	279040168	0.0
	"1999"	"1999"	"Moyamoya disease"	"I67.5"	12	279040168	Unreliable
	"1999"	"1999"	"Cerebral arteritis, not elsewhere classified"	"I67.7"	66	279040168	0.0
	"1999"	"1999"	"Other specified cerebrovascular diseases"	"I67.8"	1289	279040168	0.5
	"1999"	"1999"	"Cerebrovascular disease, unspecified"	"I67.9"	5004	279040168	1.8
	"1999"	"1999"	"Sequelae of subarachnoid haemorrhage"	"I69.0"	73	279040168	0.0
	"1999"	"1999"	"Sequelae of intracerebral haemorrhage"	"I69.1"	185	279040168	0.1
	"1999"	"1999"	"Sequelae of other nontraumatic intracranial haemorrhage"	"I69.2"	72	279040168	0.0
	"1999"	"1999"	"Sequelae of cerebral infarction"	"I69.3"	1006	279040168	0.4
	"1999"	"1999"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	10151	279040168	3.6
	"1999"	"1999"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	9676	279040168	3.5
	"1999"	"1999"	"Atherosclerosis of aorta"	"I70.0"	60	279040168	0.0
	"1999"	"1999"	"Atherosclerosis of renal artery"	"I70.1"	70	279040168	0.0
	"1999"	"1999"	"Atherosclerosis of arteries of extremities"	"I70.2"	595	279040168	0.2
	"1999"	"1999"	"Atherosclerosis of other arteries"	"I70.8"	5	279040168	Unreliable
	"1999"	"1999"	"Generalized and unspecified atherosclerosis"	"I70.9"	14249	279040168	5.1
	"1999"	"1999"	"Dissection of aorta [any part]"	"I71.0"	3373	279040168	1.2
	"1999"	"1999"	"Thoracic aortic aneurysm, ruptured"	"I71.1"	1188	279040168	0.4
	"1999"	"1999"	"Thoracic aortic aneurysm, without mention of rupture"	"I71.2"	782	279040168	0.3
	"1999"	"1999"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	5647	279040168	2.0
	"1999"	"1999"	"Abdominal aortic aneurysm, without mention of rupture"	"I71.4"	2255	279040168	0.8
	"1999"	"1999"	"Thoracoabdominal aortic aneurysm, ruptured"	"I71.5"	64	279040168	0.0
	"1999"	"1999"	"Thoracoabdominal aortic aneurysm, without mention of rupture"	"I71.6"	89	279040168	0.0
	"1999"	"1999"	"Aortic aneurysm of unspecified site, ruptured"	"I71.8"	1694	279040168	0.6
	"1999"	"1999"	"Aortic aneurysm of unspecified site, without mention of rupture"	"I71.9"	715	279040168	0.3
	"1999"	"1999"	"Aneurysm of carotid artery"	"I72.0"	59	279040168	0.0
	"1999"	"1999"	"Aneurysm of renal artery"	"I72.2"	38	279040168	0.0
	"1999"	"1999"	"Aneurysm of iliac artery"	"I72.3"	152	279040168	0.1
	"1999"	"1999"	"Aneurysm of artery of lower extremity"	"I72.4"	43	279040168	0.0
	"1999"	"1999"	"Aneurysm of other specified arteries"	"I72.8"	89	279040168	0.0
	"1999"	"1999"	"Aneurysm of unspecified site"	"I72.9"	355	279040168	0.1
	"1999"	"1999"	"Raynaud syndrome"	"I73.0"	15	279040168	Unreliable
	"1999"	"1999"	"Thromboangiitis obliterans [Buerger]"	"I73.1"	13	279040168	Unreliable
	"1999"	"1999"	"Other specified peripheral vascular diseases"	"I73.8"	30	279040168	0.0
	"1999"	"1999"	"Peripheral vascular disease, unspecified"	"I73.9"	6864	279040168	2.5
	"1999"	"1999"	"Embolism and thrombosis of abdominal aorta"	"I74.0"	57	279040168	0.0
	"1999"	"1999"	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	244	279040168	0.1
	"1999"	"1999"	"Embolism and thrombosis of arteries of upper extremities"	"I74.2"	13	279040168	Unreliable
	"1999"	"1999"	"Embolism and thrombosis of arteries of lower extremities"	"I74.3"	211	279040168	0.1
	"1999"	"1999"	"Embolism and thrombosis of arteries of extremities, unspecified"	"I74.4"	51	279040168	0.0
	"1999"	"1999"	"Embolism and thrombosis of iliac artery"	"I74.5"	30	279040168	0.0
	"1999"	"1999"	"Embolism and thrombosis of other arteries"	"I74.8"	43	279040168	0.0
	"1999"	"1999"	"Embolism and thrombosis of unspecified artery"	"I74.9"	430	279040168	0.2
	"1999"	"1999"	"Arteriovenous fistula, acquired"	"I77.0"	29	279040168	0.0
	"1999"	"1999"	"Stricture of artery"	"I77.1"	149	279040168	0.1
	"1999"	"1999"	"Rupture of artery"	"I77.2"	168	279040168	0.1
	"1999"	"1999"	"Arterial fibromuscular dysplasia"	"I77.3"	4	279040168	Unreliable
	"1999"	"1999"	"Arteritis, unspecified"	"I77.6"	539	279040168	0.2
	"1999"	"1999"	"Other specified disorders of arteries and arterioles"	"I77.8"	23	279040168	0.0
	"1999"	"1999"	"Disorder of arteries and arterioles, unspecified"	"I77.9"	298	279040168	0.1
	"1999"	"1999"	"Hereditary haemorrhagic telangiectasia"	"I78.0"	25	279040168	0.0
	"1999"	"1999"	"Naevus, non-neoplastic"	"I78.1"	12	279040168	Unreliable
	"1999"	"1999"	"Other diseases of capillaries"	"I78.8"	17	279040168	Unreliable
	"1999"	"1999"	"Disease of capillaries, unspecified"	"I78.9"	1	279040168	Unreliable
	"1999"	"1999"	"Phlebitis and thrombophlebitis of femoral vein"	"I80.1"	49	279040168	0.0
	"1999"	"1999"	"Phlebitis and thrombophlebitis of other deep vessels of lower extremities"	"I80.2"	1727	279040168	0.6
	"1999"	"1999"	"Phlebitis and thrombophlebitis of lower extremities, unspecified"	"I80.3"	356	279040168	0.1
	"1999"	"1999"	"Phlebitis and thrombophlebitis of other sites"	"I80.8"	9	279040168	Unreliable
	"1999"	"1999"	"Phlebitis and thrombophlebitis of unspecified site"	"I80.9"	173	279040168	0.1
	"1999"	"1999"	"Portal vein thrombosis"	"I81"	73	279040168	0.0
	"1999"	"1999"	"Budd-Chiari syndrome"	"I82.0"	42	279040168	0.0
	"1999"	"1999"	"Thrombophlebitis migrans"	"I82.1"	1	279040168	Unreliable
	"1999"	"1999"	"Embolism and thrombosis of vena cava"	"I82.2"	38	279040168	0.0
	"1999"	"1999"	"Embolism and thrombosis of renal vein"	"I82.3"	8	279040168	Unreliable
	"1999"	"1999"	"Embolism and thrombosis of other specified veins"	"I82.8"	79	279040168	0.0
	"1999"	"1999"	"Embolism and thrombosis of unspecified vein"	"I82.9"	70	279040168	0.0
	"1999"	"1999"	"Varicose veins of lower extremities with ulcer"	"I83.0"	64	279040168	0.0
	"1999"	"1999"	"Varicose veins of lower extremities with inflammation"	"I83.1"	12	279040168	Unreliable
	"1999"	"1999"	"Varicose veins of lower extremities with both ulcer and inflammation"	"I83.2"	10	279040168	Unreliable
	"1999"	"1999"	"Varicose veins of lower extremities without ulcer or inflammation"	"I83.9"	81	279040168	0.0
	"1999"	"1999"	"Internal haemorrhoids without complication"	"I84.2"	2	279040168	Unreliable
	"1999"	"1999"	"Unspecified haemorrhoids with other complications"	"I84.8"	4	279040168	Unreliable
	"1999"	"1999"	"Unspecified haemorrhoids without complication"	"I84.9"	8	279040168	Unreliable
	"1999"	"1999"	"Oesophageal varices with bleeding"	"I85.0"	128	279040168	0.0
	"1999"	"1999"	"Oesophageal varices without bleeding"	"I85.9"	96	279040168	0.0
	"1999"	"1999"	"Scrotal varices"	"I86.1"	1	279040168	Unreliable
	"1999"	"1999"	"Gastric varices"	"I86.4"	29	279040168	0.0
	"1999"	"1999"	"Varicose veins of other specified sites"	"I86.8"	4	279040168	Unreliable
	"1999"	"1999"	"Compression of vein"	"I87.1"	32	279040168	0.0
	"1999"	"1999"	"Venous insufficiency (chronic)(peripheral)"	"I87.2"	55	279040168	0.0
	"1999"	"1999"	"Other specified disorders of veins"	"I87.8"	70	279040168	0.0
	"1999"	"1999"	"Disorder of vein, unspecified"	"I87.9"	8	279040168	Unreliable
	"1999"	"1999"	"Nonspecific lymphadenitis, unspecified"	"I88.9"	2	279040168	Unreliable
	"1999"	"1999"	"Lymphoedema, not elsewhere classified"	"I89.0"	35	279040168	0.0
	"1999"	"1999"	"Lymphangitis"	"I89.1"	3	279040168	Unreliable
	"1999"	"1999"	"Other specified noninfective disorders of lymphatic vessels and lymph nodes"	"I89.8"	28	279040168	0.0
	"1999"	"1999"	"Noninfective disorder of lymphatic vessels and lymph nodes, unspecified"	"I89.9"	2	279040168	Unreliable
	"1999"	"1999"	"Orthostatic hypotension"	"I95.1"	30	279040168	0.0
	"1999"	"1999"	"Other hypotension"	"I95.8"	10	279040168	Unreliable
	"1999"	"1999"	"Hypotension, unspecified"	"I95.9"	337	279040168	0.1
	"1999"	"1999"	"Other and unspecified disorders of circulatory system"	"I99"	349	279040168	0.1
	"2000"	"2000"	"Rheumatic fever without mention of heart involvement"	"I00"	29	281421906	0.0
	"2000"	"2000"	"Acute rheumatic pericarditis"	"I01.0"	1	281421906	Unreliable
	"2000"	"2000"	"Acute rheumatic endocarditis"	"I01.1"	2	281421906	Unreliable
	"2000"	"2000"	"Other acute rheumatic heart disease"	"I01.8"	1	281421906	Unreliable
	"2000"	"2000"	"Acute rheumatic heart disease, unspecified"	"I01.9"	3	281421906	Unreliable
	"2000"	"2000"	"Rheumatic chorea with heart involvement"	"I02.0"	1	281421906	Unreliable
	"2000"	"2000"	"Mitral stenosis"	"I05.0"	792	281421906	0.3
	"2000"	"2000"	"Rheumatic mitral insufficiency"	"I05.1"	19	281421906	Unreliable
	"2000"	"2000"	"Mitral stenosis with insufficiency"	"I05.2"	10	281421906	Unreliable
	"2000"	"2000"	"Other mitral valve diseases"	"I05.8"	21	281421906	0.0
	"2000"	"2000"	"Mitral valve disease, unspecified"	"I05.9"	1196	281421906	0.4
	"2000"	"2000"	"Rheumatic aortic stenosis"	"I06.0"	15	281421906	Unreliable
	"2000"	"2000"	"Rheumatic aortic insufficiency"	"I06.1"	4	281421906	Unreliable
	"2000"	"2000"	"Rheumatic aortic stenosis with insufficiency"	"I06.2"	1	281421906	Unreliable
	"2000"	"2000"	"Rheumatic aortic valve disease, unspecified"	"I06.9"	15	281421906	Unreliable
	"2000"	"2000"	"Tricuspid insufficiency"	"I07.1"	177	281421906	0.1
	"2000"	"2000"	"Tricuspid stenosis with insufficiency"	"I07.2"	1	281421906	Unreliable
	"2000"	"2000"	"Other tricuspid valve diseases"	"I07.8"	26	281421906	0.0
	"2000"	"2000"	"Tricuspid valve disease, unspecified"	"I07.9"	24	281421906	0.0
	"2000"	"2000"	"Disorders of both mitral and aortic valves"	"I08.0"	317	281421906	0.1
